experiment_id,timestamp,run_id,image_name,image_size,image_dimensions,payload_size_bytes,method_name,color_channels,theoretical_capacity_bytes,capacity_utilization_ratio,success,error,processing_stages,actual_image_shape,image_size_bytes,actual_message_size,message_entropy,compressed_size_bytes,tree_size_bytes,total_payload_size,compression_ratio,compression_efficiency,encrypted_size_bytes,encryption_overhead,total_embedded_size,embedding_rate,psnr_db,mse,max_pixel_error,total_time,psnr_per_channel,psnr_std,message_integrity,bit_error_rate,character_accuracy
20260118_132628,2026-01-18T13:27:08.180973,peppers_256_1000_DWT_DCT_grayscale,peppers,256,256x256,1000,DWT_DCT_grayscale,1,7372,0.13564839934888767,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.11975431442260742, 'embedding': 0.14780640602111816, 'quality_analysis': 0.002010345458984375, 'extraction': 0.09093403816223145}","(256, 256)",65536,1000,4.408307615031233,556,1398,1958,0.5107252298263534,-0.958,2480,554,2512,0.038330078125,41.49947556159149,4.603973388671875,10.0,0.46276402473449707,,,,,
20260118_132628,2026-01-18T13:27:08.643737,peppers_256_2500_DWT_DCT_grayscale,peppers,256,256x256,2500,DWT_DCT_grayscale,1,7372,0.3391209983722192,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.002306699752807617, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10419297218322754, 'embedding': 0.120452880859375, 'quality_analysis': 0.0, 'extraction': 0.09214496612548828}","(256, 256)",65536,2500,4.419990944489446,1391,1407,2802,0.8922198429693077,-0.12080000000000002,3776,1006,3808,0.05810546875,39.58025533216272,7.1623382568359375,12.0,0.43149733543395996,,,,,
20260118_132628,2026-01-18T13:27:09.075234,peppers_256_5000_DWT_DCT_grayscale,peppers,256,256x256,5000,DWT_DCT_grayscale,1,7372,0.6782419967444384,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0037796497344970703, 'message_generation': 0.002724170684814453, 'compression': 0.0020096302032470703, 'encryption': 0.10532474517822266, 'embedding': 0.17561078071594238, 'quality_analysis': 0.0, 'extraction': 0.14779043197631836}","(256, 256)",65536,5000,4.420564542645487,2780,1419,4203,1.1896264572924102,0.1594,5920,1749,5952,0.0908203125,37.70246629899359,11.03656005859375,15.0,0.546151876449585,,,,,
20260118_132628,2026-01-18T13:27:09.621386,peppers_256_10_DWT_DCT_color,peppers,256,256x256,10,DWT_DCT_color,3,22118,0.0004521204448865178,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10444927215576172, 'embedding': 0.03221297264099121, 'quality_analysis': 0.005463123321533203, 'extraction': 0.02674579620361328}","(256, 256, 3)",196608,10,3.121928094887362,5,448,457,0.02188183807439825,-44.7,528,103,560,0.0028483072916666665,50.06119417928428,0.6412099202473959,3.0,0.265866756439209,"[50.011713614412976, 50.14336423359781, 50.02850468984202]",0.05850597361485649,,,
20260118_132628,2026-01-18T13:27:09.887253,peppers_256_25_DWT_DCT_color,peppers,256,256x256,25,DWT_DCT_color,3,22118,0.0011303011122162944,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.008018255233764648, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.09761214256286621, 'embedding': 0.04030323028564453, 'quality_analysis': 0.008029699325561523, 'extraction': 0.040221452713012695}","(256, 256, 3)",196608,25,3.753269689515107,13,718,735,0.034013605442176874,-28.4,848,145,880,0.004475911458333333,49.047455285083856,0.81060791015625,4.0,0.29828763008117676,"[49.13866075075318, 49.2368803018786, 48.7668248026198]",0.2024464881095377,,,
20260118_132628,2026-01-18T13:27:10.185540,peppers_256_50_DWT_DCT_color,peppers,256,256x256,50,DWT_DCT_color,3,22118,0.002260602224432589,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10462188720703125, 'embedding': 0.05590319633483887, 'quality_analysis': 0.0, 'extraction': 0.056179046630859375}","(256, 256, 3)",196608,50,4.063144940981576,27,943,974,0.0513347022587269,-18.48,1136,194,1168,0.005940755208333333,48.23107230673197,0.9787851969401041,4.0,0.32131385803222656,"[48.31732062462357, 48.482358358246216, 47.89353793732612]",0.24800060655500675,,,
20260118_132628,2026-01-18T13:27:10.578603,peppers_256_100_DWT_DCT_color,peppers,256,256x256,100,DWT_DCT_color,3,22118,0.004521204448865178,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.006013154983520508, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.1000525951385498, 'embedding': 0.05783867835998535, 'quality_analysis': 0.005440473556518555, 'extraction': 0.04872441291809082}","(256, 256, 3)",196608,100,4.172990526954634,54,1078,1136,0.0880281690140845,-10.36,1328,224,1360,0.006917317708333333,47.78533385997781,1.0835622151692708,4.0,0.3177778720855713,"[47.84816035329884, 47.9456768775858, 47.562164349048786]",0.162748970469813,,,
20260118_132628,2026-01-18T13:27:10.896381,peppers_256_250_DWT_DCT_color,peppers,256,256x256,250,DWT_DCT_color,3,22118,0.011303011122162945,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.013431072235107422, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10461163520812988, 'embedding': 0.07428193092346191, 'quality_analysis': 0.006801128387451172, 'extraction': 0.0859832763671875}","(256, 256, 3)",196608,250,4.410014710941875,140,1393,1537,0.16265452179570591,-5.148,1824,319,1856,0.009440104166666666,46.76464122999946,1.3703664143880208,6.0,0.3834102153778076,"[46.822491304863945, 46.89711698999848, 46.574315395135955]",0.13798596736097823,,,
20260118_132628,2026-01-18T13:27:11.279791,peppers_256_500_DWT_DCT_color,peppers,256,256x256,500,DWT_DCT_color,3,22118,0.02260602224432589,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.010473012924194336, 'encryption': 0.0908956527709961, 'embedding': 0.08807873725891113, 'quality_analysis': 0.004023075103759766, 'extraction': 0.08090519905090332}","(256, 256, 3)",196608,500,4.397582645859516,278,1395,1677,0.2981514609421586,-2.354,2032,387,2064,0.010498046875,46.321041029955836,1.5176849365234375,5.0,0.3838212490081787,"[46.332631927960584, 46.47841325350092, 46.15207790840601]",0.13347771612263234,,,
20260118_132628,2026-01-18T13:27:11.663612,peppers_256_1000_DWT_DCT_color,peppers,256,256x256,1000,DWT_DCT_color,3,22118,0.04521204448865178,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0035238265991210938, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.11433911323547363, 'embedding': 0.13708925247192383, 'quality_analysis': 0.0, 'extraction': 0.11710095405578613}","(256, 256, 3)",196608,1000,4.408307615031233,556,1398,1958,0.5107252298263534,-0.958,2480,554,2512,0.012776692708333334,45.602183520930716,1.79296875,6.0,0.47680115699768066,"[45.59348741825389, 45.91095120459536, 45.302111939942904]",0.2486336383744286,,,
