experiment_id,timestamp,run_id,image_name,image_size,image_dimensions,payload_size_bytes,method_name,color_channels,theoretical_capacity_bytes,capacity_utilization_ratio,success,error,processing_stages,actual_image_shape,image_size_bytes,actual_message_size,message_entropy,compressed_size_bytes,tree_size_bytes,total_payload_size,compression_ratio,compression_efficiency,encrypted_size_bytes,encryption_overhead,total_embedded_size,embedding_rate,psnr_db,mse,max_pixel_error,message_integrity,bit_error_rate,character_accuracy,total_time,psnr_per_channel,psnr_std
20260116_212128,2026-01-16T21:22:35.644030,lena_512_1000_DWT_DCT_color,lena,512,512x512,1000,DWT_DCT_color,3,88473,0.011302883365546551,True,,"{'image_loading': 0.011781930923461914, 'message_generation': 0.0, 'compression': 0.0015006065368652344, 'encryption': 0.09769725799560547, 'embedding': 0.1672987937927246, 'quality_analysis': 0.01879096031188965, 'extraction': 0.14171838760375977, 'decryption_decompression': 0.1040959358215332}","(512, 512, 3)",786432,1000,4.408307615031233,556,1398,1958,0.5107252298263534,-0.958,2480,554,2512,0.0031941731770833335,52.46171227934011,0.3694915771484375,4.0,True,0.0,1.0,0.5428838729858398,"[52.59148987132506, 52.119474547598784, 52.67417241909649]",0.24434142737445716
20260116_212128,2026-01-16T21:22:36.192572,lena_512_2500_DWT_DCT_color,lena,512,512x512,2500,DWT_DCT_color,3,88473,0.028257208413866378,True,,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.011064767837524414, 'encryption': 0.10483169555664062, 'embedding': 0.21594834327697754, 'quality_analysis': 0.02992415428161621, 'extraction': 0.17328667640686035, 'decryption_decompression': 0.10530662536621094}","(512, 512, 3)",786432,2500,4.419990944489446,1391,1407,2802,0.8922198429693077,-0.12080000000000002,3776,1006,3808,0.004842122395833333,50.697974627907065,0.5543670654296875,4.0,True,0.0,1.0,0.6403622627258301,"[50.76855581578134, 50.412045357862816, 50.91332271007705]",0.2106434966509926
20260116_212128,2026-01-16T21:22:36.838043,lena_512_5000_DWT_DCT_color,lena,512,512x512,5000,DWT_DCT_color,3,88473,0.056514416827732755,True,,"{'image_loading': 0.0030295848846435547, 'message_generation': 0.0, 'compression': 0.009321212768554688, 'encryption': 0.11048531532287598, 'embedding': 0.2786855697631836, 'quality_analysis': 0.021358013153076172, 'extraction': 0.24440288543701172, 'decryption_decompression': 0.11624407768249512}","(512, 512, 3)",786432,5000,4.420564542645487,2780,1419,4203,1.1896264572924102,0.1594,5920,1749,5952,0.007568359375,48.698849752763444,0.8784612019856771,4.0,True,0.0,1.0,0.7835266590118408,"[48.65029244130402, 48.463680230465556, 48.98257658652077]",0.2146030699593575
20260116_212128,2026-01-16T21:22:37.631310,lena_512_10000_DWT_DCT_color,lena,512,512x512,10000,DWT_DCT_color,3,88473,0.11302883365546551,True,,"{'image_loading': 0.006945133209228516, 'message_generation': 0.0037260055541992188, 'compression': 0.004017353057861328, 'encryption': 0.11361050605773926, 'embedding': 0.412473201751709, 'quality_analysis': 0.02647566795349121, 'extraction': 0.3648684024810791, 'decryption_decompression': 0.12429022789001465}","(512, 512, 3)",786432,10000,4.4195894502073365,5558,1431,6993,1.43000143000143,0.30069999999999997,10192,3231,10224,0.01300048828125,46.35764422329097,1.506378173828125,4.0,True,0.0,1.0,1.0564064979553223,"[46.32650406817749, 46.09016709732224, 46.65626150437316]",0.23215368669476
20260116_212128,2026-01-16T21:22:38.693978,lena_512_25000_DWT_DCT_color,lena,512,512x512,25000,DWT_DCT_color,3,88473,0.28257208413866375,True,,"{'image_loading': 0.010332822799682617, 'message_generation': 0.0034608840942382812, 'compression': 0.01269984245300293, 'encryption': 0.11761760711669922, 'embedding': 0.8132851123809814, 'quality_analysis': 0.01999831199645996, 'extraction': 0.745354175567627, 'decryption_decompression': 0.15143251419067383}","(512, 512, 3)",786432,25000,4.420845504334001,13897,1442,15343,1.6294075474157597,0.38627999999999996,23008,7697,23040,0.029296875,42.801121480327176,3.4144872029622397,4.0,True,0.0,1.0,1.8741812705993652,"[42.795139567042064, 42.58832605751774, 43.01989881642173]",0.17623960777289013
20260116_212128,2026-01-16T21:22:40.570870,lena_512_50000_DWT_DCT_color,lena,512,512x512,50000,DWT_DCT_color,3,88473,0.5651441682773275,True,,"{'image_loading': 0.010154485702514648, 'message_generation': 0.014140844345092773, 'compression': 0.0216672420501709, 'encryption': 0.10501623153686523, 'embedding': 1.469578742980957, 'quality_analysis': 0.021239757537841797, 'extraction': 1.3602588176727295, 'decryption_decompression': 0.19631171226501465}","(512, 512, 3)",786432,50000,4.420770384568954,27794,1452,29250,1.7094017094017093,0.41500000000000004,44352,15134,44384,0.056437174479166664,40.12399713201378,6.326686859130859,7.0,True,0.0,1.0,3.1983678340911865,"[40.122888631987294, 39.870369130019256, 40.378733634034774]",0.20754041986236052
20260116_212128,2026-01-16T21:22:43.771530,baboon_512_10_DWT_DCT_grayscale,baboon,512,512x512,10,DWT_DCT_grayscale,1,29491,0.0003390865009663965,True,,"{'image_loading': 0.006186246871948242, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.1152191162109375, 'embedding': 0.20793700218200684, 'quality_analysis': 0.005480051040649414, 'extraction': 0.09011363983154297, 'decryption_decompression': 0.10200667381286621}","(512, 512)",262144,10,3.121928094887362,5,448,457,0.02188183807439825,-44.7,528,103,560,0.00213623046875,53.845105419823334,0.2682685852050781,6.0,True,0.0,1.0,0.5269427299499512,,
20260116_212128,2026-01-16T21:22:44.298473,baboon_512_25_DWT_DCT_grayscale,baboon,512,512x512,25,DWT_DCT_grayscale,1,29491,0.0008477162524159913,True,,"{'image_loading': 0.008264780044555664, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10373735427856445, 'embedding': 0.09763789176940918, 'quality_analysis': 0.007103919982910156, 'extraction': 0.08220386505126953, 'decryption_decompression': 0.10738921165466309}","(512, 512)",262144,25,3.753269689515107,13,718,735,0.034013605442176874,-28.4,848,145,880,0.00335693359375,51.89722530609914,0.42010498046875,6.0,True,0.0,1.0,0.40633702278137207,,
20260116_212128,2026-01-16T21:22:44.740889,baboon_512_50_DWT_DCT_grayscale,baboon,512,512x512,50,DWT_DCT_grayscale,1,29491,0.0016954325048319826,True,,"{'image_loading': 0.0141754150390625, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10535120964050293, 'embedding': 0.11221837997436523, 'quality_analysis': 0.0040035247802734375, 'extraction': 0.08848285675048828, 'decryption_decompression': 0.10656332969665527}","(512, 512)",262144,50,4.063144940981576,27,943,974,0.0513347022587269,-18.48,1136,194,1168,0.00445556640625,50.72902056256293,0.5497665405273438,6.0,True,0.0,1.0,0.43079471588134766,,
20260116_212128,2026-01-16T21:22:45.174707,baboon_512_100_DWT_DCT_grayscale,baboon,512,512x512,100,DWT_DCT_grayscale,1,29491,0.0033908650096639652,True,,"{'image_loading': 0.012155771255493164, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10260128974914551, 'embedding': 0.11426520347595215, 'quality_analysis': 0.002079010009765625, 'extraction': 0.08927035331726074, 'decryption_decompression': 0.12008428573608398}","(512, 512)",262144,100,4.172990526954634,54,1078,1136,0.0880281690140845,-10.36,1328,224,1360,0.00518798828125,50.087140118516885,0.6373329162597656,7.0,True,0.0,1.0,0.44045591354370117,,
